Tick, Healthy population, Susceptible population, Infected population
28561.25, 1347, 4, 169
28652.5, 1318, 24, 178
28743.75, 1350, 22, 148
28835.0, 1, 1485, 34
28926.25, 1266, 16, 238
29017.5, 1325, 15, 180
29108.75, 1424, 17, 79
29200.0, 2, 1489, 29
29291.25, 1266, 13, 241
29382.5, 1318, 16, 186
29473.75, 1374, 26, 120
29565.0, 0, 1486, 34
29656.25, 1283, 25, 212
29747.5, 1324, 16, 180
29838.75, 1406, 16, 98
29930.0, 0, 1486, 34
30021.25, 1215, 13, 292
30112.5, 1315, 26, 179
30203.75, 1403, 24, 93
30295.0, 1, 1487, 32
30386.25, 1204, 23, 293
30477.5, 1269, 8, 243
30568.75, 1346, 22, 152
30660.0, 0, 1489, 31
30751.25, 1327, 22, 171
30842.5, 1312, 13, 195
30933.75, 1407, 13, 100
31025.0, 0, 1490, 30
